Airport.Code,Airport.Name,Time.Label,Time.Month Name,Time.Year,Statistics.# of Delays.Carrier,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.National Aviation System
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2003/06,June,2003,1009,1275,3217
BOS,"Boston, MA: Logan International",2003/06,June,2003,374,495,685
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2003/06,June,2003,296,477,389
CLT,"Charlotte, NC: Charlotte Douglas International",2003/06,June,2003,300,472,735
DCA,"Washington, DC: Ronald Reagan Washington National",2003/06,June,2003,283,268,487
DEN,"Denver, CO: Denver International",2003/06,June,2003,516,323,664
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2003/06,June,2003,986,1390,2147
DTW,"Detroit, MI: Detroit Metro Wayne County",2003/06,June,2003,376,371,570
EWR,"Newark, NJ: Newark Liberty International",2003/06,June,2003,322,519,1948
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2003/06,June,2003,247,256,427
IAD,"Washington, DC: Washington Dulles International",2003/06,June,2003,320,295,573
IAH,"Houston, TX: George Bush Intercontinental/Houston",2003/06,June,2003,329,730,1405
JFK,"New York, NY: John F. Kennedy International",2003/06,June,2003,376,226,394
LAS,"Las Vegas, NV: McCarran International",2003/06,June,2003,511,678,624
LAX,"Los Angeles, CA: Los Angeles International",2003/06,June,2003,830,765,842
LGA,"New York, NY: LaGuardia",2003/06,June,2003,302,338,867
MCO,"Orlando, FL: Orlando International",2003/06,June,2003,368,434,535
MDW,"Chicago, IL: Chicago Midway International",2003/06,June,2003,180,411,311
MIA,"Miami, FL: Miami International",2003/06,June,2003,247,210,585
MSP,"Minneapolis, MN: Minneapolis-St Paul International",2003/06,June,2003,428,376,759
ORD,"Chicago, IL: Chicago O'Hare International",2003/06,June,2003,801,982,2947
PDX,"Portland, OR: Portland International",2003/06,June,2003,193,248,213
PHL,"Philadelphia, PA: Philadelphia International",2003/06,June,2003,338,565,1083
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2003/06,June,2003,491,569,664
SAN,"San Diego, CA: San Diego International",2003/06,June,2003,324,349,341
SEA,"Seattle, WA: Seattle/Tacoma International",2003/06,June,2003,448,552,454
SFO,"San Francisco, CA: San Francisco International",2003/06,June,2003,416,312,1080
SLC,"Salt Lake City, UT: Salt Lake City International",2003/06,June,2003,363,290,352
TPA,"Tampa, FL: Tampa International",2003/06,June,2003,226,327,524
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2003/07,July,2003,1259,1791,4022
BOS,"Boston, MA: Logan International",2003/07,July,2003,450,587,609
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2003/07,July,2003,387,646,544
CLT,"Charlotte, NC: Charlotte Douglas International",2003/07,July,2003,335,542,945
DCA,"Washington, DC: Ronald Reagan Washington National",2003/07,July,2003,343,270,573
DEN,"Denver, CO: Denver International",2003/07,July,2003,562,434,646
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2003/07,July,2003,1216,1443,2081
DTW,"Detroit, MI: Detroit Metro Wayne County",2003/07,July,2003,475,448,816
EWR,"Newark, NJ: Newark Liberty International",2003/07,July,2003,410,706,1665
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2003/07,July,2003,262,328,412
IAD,"Washington, DC: Washington Dulles International",2003/07,July,2003,395,406,671
